Annotation/Divergence	AB425_SB139.M (1348270.0 total)	AB426_SB139.M (919032.0 total)	AB427_SB139.M (1076940.0 total)	AB428_SB139.M (1045155.0 total)	AB429_SB139.M (1152020.0 total)	AB430_SB139.M (1353472.0 total)	AB431_SB139.M (984314.0 total)	AB432_SB139.M (1095253.0 total)
Atp6v0d1|AI267038|Ac39|Atp6d|P39|VATX|Vma6|-|8|8 D3|protein-coding	225	155	185	170	205	206	157	170
Akap12|AI317366|SSeCKS|Srcs5|Tsga12|-|10|10 A1|protein-coding	5	5	8	8	8	6	6	5
Cnbd2|4921517L17Rik|5430421B09Rik|Cris|-|2 H1|2|protein-coding	0	0	0	0	1	1	0	0
Dcun1d3|1700020A13Rik|BC030335|-|7|7 F2|protein-coding	8	2	13	5	6	9	4	11
Bc1|Gm24367|-|7 F5|7|ncRNA	0	0	0	0	0	0	0	0
Grin2c|GluN2C|NMDAR2C|NR2C|-|11 E2|11 80.8 cM|protein-coding	0	0	0	0	0	0	0	0
Tmem41b|1500015G02Rik|1500031M19Rik|AU018901|D7Ertd70e|D7Ertd743e|-|7 E3|7 57.69 cM|protein-coding	48	31	40	39	38	56	42	33
Gm15698|OTTMUSG00000001305|OTTMUSG00000025408|-|11|11 C|pseudo	0	0	0	0	0	0	0	0
Tmem130|BC067004|C130036G08|-|5|5 G2|protein-coding	0	1	0	0	0	0	0	0
Rab1a|Gtbp|Rab-1|Rab1|Ypt1|mKIAA3012|-|11 A3.1|11 12.92 cM|protein-coding	295	177	235	229	257	271	217	240
Tcerg1l|5730476P14Rik|-|7|7 F4|protein-coding	0	0	0	1	0	1	0	0
Clec11a|AW457320|Clecsf3|Scgf|-|7|7 B3|protein-coding	8	6	8	3	10	9	5	5
Nyap2|9430031J16Rik|Jr6|Kiaa1486|-|1|1 C5|protein-coding	0	0	0	0	0	0	0	0
Trim59|2310035M22Rik|2700022F13Rik|Mrf1|TSBF1|-|3|3 E1|protein-coding	2	4	5	4	2	2	7	9
Egf|AI790464|-|3 G3|3 58.5 cM|protein-coding	1	0	0	0	0	1	0	0
Cfh|Mud-1|NOM|Sas-1|Sas1|-|1 61.62 cM|1 F|protein-coding	63	36	25	33	24	27	17	23
Zmiz1|BC065120|E330020C23|ENSMUSG00000072684|Gm10397|I920194n01|Rai17|Zimp10|-|14|14 A3|protein-coding	13	12	7	9	8	13	1	8
Ulk3|1200015E14Rik|-|9|9 B|protein-coding	5	1	4	7	4	8	4	6
Syne1|8B|A330049M09Rik|BE692247|C130039F11Rik|CPG2|Myne1|mKIAA1756|myne-1|-|10|10 A1|protein-coding	7	5	3	6	5	16	6	10
Nnmt|-|-|9 A5.3|9 26.45 cM|protein-coding	16	15	7	7	11	14	2	3
Efna5|AL-1|AV158822|EFL-5|Ephrin-A5|Epl7|LERK-7|RAGS|-|17 E1.1|17 32.57 cM|protein-coding	24	8	7	13	8	8	8	2
Olfr297|MOR220-3|-|7|7 D3|protein-coding	0	0	0	0	0	0	0	0
Tmem267|EG633640|Gm7120|-|13|13 D2.3|protein-coding	22	13	20	19	21	22	14	21
Flnc|1110055E19Rik|ABP-280|ABPL|Fln2|-|6 A3.3|6 12.36 cM|protein-coding	20	10	16	12	15	11	11	18
Ifit1bl1|Gm14446|Ifit1c|OTTMUSG00000016644|-|19 C1|19|protein-coding	3	0	3	0	0	1	1	1
Fasl|APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|Tnlg1a|gld|-|1 H2.1|1 69.95 cM|protein-coding	0	0	0	0	0	0	0	0
Tmem268|6330416G13Rik|AW492431|bM230C2.2|-|4|4 C1|protein-coding	3	5	8	4	12	8	5	8
2310001K24Rik|-|-|2|2 H3|ncRNA	0	1	2	0	0	1	0	0
Auts2|2700063G02Rik|A730011F23Rik|D830032G16Rik|-|5|5 G2|protein-coding	2	0	1	0	0	0	0	2
4930478L05Rik|-|-|16|16 C3.1|ncRNA	0	0	0	0	0	0	0	0
Gm13830|OTTMUSG00000014646|-|5 F|5 56.04 cM|ncRNA	0	0	0	0	0	0	0	0
Snord71|MBII-239|-|8 D3|8|snoRNA	0	0	0	0	0	0	0	0
Osgepl1|2610001M19Rik|AA416452|-|1 C1.1|1 26.99 cM|protein-coding	7	0	7	4	5	9	5	8
Proz|1300015B06Rik|-|8|8 A1.1|protein-coding	0	0	0	0	0	0	0	0
Apoc4-apoc2|-|-|7 A3|protein-coding	2	3	0	0	4	1	3	1
Tmem177|2300008B03Rik|-|1|1 E2.3|protein-coding	11	16	15	10	15	19	19	18
4930428O21Rik|-|-|5|5 F|ncRNA	0	0	0	0	0	0	0	0
Lipe|4933403G17Rik|HSL|-|7 A3|7 13.78 cM|protein-coding	14	9	9	9	8	10	6	11
Cuta|0610039D01Rik|1810022E02Rik|1810060C03Rik|2700094G22Rik|AI326454|-|17|17 A3.3|protein-coding	248	147	197	213	187	255	205	181
Tmem179b|0610031L02Rik|1500003K22Rik|1810059G22Rik|-|19|19 A|protein-coding	132	85	107	98	116	128	85	117
Rundc3b|Gm440|-|5|5 A1|protein-coding	0	0	0	1	0	0	0	0
Efcc1|Ccdc48|-|6|6 D1|protein-coding	1	0	1	0	1	0	0	1
A230020J21Rik|ENSMUSG00000066596|-|1 H6|1|ncRNA	1	1	0	0	0	0	0	0
Myo18b|4932408L24Rik|4933411E19Rik|Gm448|-|5|5 F|protein-coding	0	0	0	0	0	0	0	0
Epop|AA409164|AI413509|AW539173|E13|E130012A19Rik|esPRC2p48|-|11|11 D|protein-coding	0	0	1	1	0	0	0	0
Defa22|Defcr22|-|8|8 A2|protein-coding	0	0	0	0	0	0	0	0
Atrip|6620401K05Rik|-|9|9 F2|protein-coding	13	8	21	24	15	27	15	28
Mier2|2700087H15Rik|mKIAA1193|-|10|10 C1|protein-coding	32	10	15	18	28	31	25	26
Olfr1411|MOR208-3|-|1|1 D|protein-coding	0	0	0	0	0	0	0	0
Pcsk6|C86343|Pace4|SPC4|-|7 C|7 35.36 cM|protein-coding	1	0	2	1	2	1	0	0
Rsad2|2510004L01Rik|Vig1|cig5|-|12|12 A2|protein-coding	75	51	1	4	68	59	5	9
Map3k14|Nik|aly|-|11 E1|11 66.8 cM|protein-coding	4	4	3	2	5	11	4	9
Cbln4|AI848962|-|2|2 H3|protein-coding	0	0	0	0	1	0	0	0
Desi2|5830417C01Rik|DeSI-2|Fam152a|Pppde1|-|1|1 H4|protein-coding	45	29	20	29	29	23	25	26
Nfyb|AA985999|Cbf-A|-|10 C1|10 40.25 cM|protein-coding	9	17	11	6	12	14	11	15
Lxn|-|-|3 E1|3 30.98 cM|protein-coding	50	47	68	49	53	63	35	61
Bche|C730038G20Rik|-|3|3 E3|protein-coding	1	2	0	2	0	0	0	0
Mfsd13a|4930449A08Rik|4930538D17Rik|Tmem180|-|19|19 C3|protein-coding	12	7	3	5	9	5	7	4
Nob1|1700021I09Rik|ART-4|Nob1p|Psmd8bp1|-|8|8 D3|protein-coding	22	19	18	18	25	24	15	12
Gm9899|ENSMUSG00000053214|-|5 B1|5 16.67 cM|ncRNA	0	1	0	0	0	0	0	0
4930447K03Rik|-|-|13|13 A3.3|ncRNA	0	0	0	0	0	0	1	0
Aplp2|AI790698|APLP-2|-|9 A4|9 16.66 cM|protein-coding	396	276	364	368	384	531	345	425
Zfp688|2810407K09Rik|AI326029|-|7|7 F3|protein-coding	32	15	15	25	20	15	25	18
Plpp7|D830019K17Rik|NET39|Ppapdc3|-|2|2 B|protein-coding	26	18	26	20	25	28	22	24
Gm19424|-|-|19 C3|19 35.17 cM|ncRNA	0	0	0	0	0	0	0	0
Mrps35|MDSO23|MRP-S28|MRPS28|-|6|6 G3|protein-coding	71	41	48	39	39	64	44	47
Crlf1|CLF-1|CRLM-3|CRLM3|NR6|NR6.1|-|8 B3.3|8 34.15 cM|protein-coding	17	6	14	17	18	22	11	13
Hspa14|70kDa|HSP70L1|Hsp70-4|NST-1|hsr.1|-|2|2 A1|protein-coding	34	21	33	30	36	46	21	36
Ccdc34os|1700024P03Rik|-|2|2 E3|ncRNA	0	0	0	0	0	0	0	0
Pola2|AI573378|-|19|19 A|protein-coding	15	11	8	5	21	9	3	7
Pycr2|1810018M05Rik|P5cr2|-|1|1 H4|protein-coding	110	106	110	113	107	129	106	124
Zcchc4|4930449I23Rik|-|5|5 C1|protein-coding	7	4	5	7	5	4	4	2
Rnase10|4930474F22Rik|Rah1|-|14|14 C1|protein-coding	0	0	0	0	0	0	0	0
Nrarp|2700054M22Rik|-|2|2 A3|protein-coding	1	0	1	2	0	0	0	2
V1rd18|-|-|-|protein-coding	0	0	0	0	0	0	0	0
Cpne7|AW047065|-|8|8 E1|protein-coding	0	0	1	1	2	2	1	2
4933413G19Rik|-|-|6|6 F3|protein-coding	0	0	0	0	0	0	0	0
Gm13547|OTTMUSG00000012686|-|2 B|2|protein-coding	0	0	0	0	0	0	0	0
Klra22|Ly49v|-|-|protein-coding	0	0	0	0	0	0	0	0
Nrsn2|Gm123|Neurensin-2|-|2|2 G3|protein-coding	0	0	0	0	0	0	0	1
Skiv2l|4930534J06Rik|AW214248|Ddx13|SKI|Ski2w|-|17|17 B1|protein-coding	61	37	45	57	50	57	41	45
1810046K07Rik|-|-|9|9 A5.3|protein-coding	0	0	0	0	0	0	0	0
Rab20|AA536966|D8Ertd350e|-|8 A1.1|8 5.73 cM|protein-coding	7	8	9	9	8	13	3	9
Tbrg4|2310042P22Rik|AA120735|AA408001|AI527316|Cpr2|R74877|Tb-12|mKIAA0948|-|11|11 A1|protein-coding	7	3	7	8	9	6	8	3
Cyp4a32|OTTMUSG00000008689|-|4|4 D1|protein-coding	0	0	0	0	0	0	0	0
Defb22|9230002F21Rik|-|2|2 G3|protein-coding	0	0	0	0	0	0	0	0
Nim1k|E130304F04Rik|Nim1|-|13|13 D2.3|protein-coding	14	9	11	13	18	11	9	12
Senp6|2810017C20Rik|E130319N12Rik|Susp1|mKIAA0797|-|9|9 E1|protein-coding	14	13	14	18	10	20	8	7
Hspa1l|Hsc70t|Msh5|-|17 B1|17 18.51 cM|protein-coding	0	0	0	0	0	0	0	0
Msmo1|1500001G16Rik|C78600|DESP4|ERG25|Sc4mol|-|8|8 B3.1|protein-coding	454	357	331	365	386	460	306	330
Ptger2|EP2|Ptgerep2|-|14 C1|14 22.68 cM|protein-coding	1	1	1	1	4	0	0	1
Cdc37l1|2700033A15Rik|BB159850|Cdc37l|Harc|-|19|19 C1|protein-coding	37	16	25	31	31	36	38	33
D430041D05Rik|9630056G07Rik|G2|-|2 E2|2 54.59 cM|protein-coding	0	0	0	0	0	0	0	0
Sars|Sars1|Strs|serRS|-|3 F3|3 47.08 cM|protein-coding	322	190	247	248	273	311	209	239
D630045J12Rik|Kiaa1549|mKIAA1549|-|6|6 B1|protein-coding	3	1	5	2	1	4	0	3
Arhgap30|6030405P05Rik|Gm102|mFLJ00267|-|1|1 H3|protein-coding	1	0	0	2	1	2	0	1
Sncg|C79089|persyn|-|14 B|14 20.81 cM|protein-coding	122	92	80	74	95	157	99	86
Vmn2r85|EG623734|-|10|10 D3|protein-coding	0	0	0	0	0	0	0	0
Duox2|A430065P05Rik|LNOX2|NOXEF2|P138-TOX|THOX2|-|2|2 E5|protein-coding	0	0	0	0	0	0	0	0
Mapkapk2|AA960234|MAPKAP-K2|MK-2|MK2|Rps6kc1|-|1|1 E4|protein-coding	161	87	108	119	121	167	93	106
Mri1|2410018C20Rik|-|8|8 C2|protein-coding	22	20	18	13	17	34	21	20
A330069E16Rik|-|-|2|2 E1|ncRNA	4	5	3	2	2	7	4	2
Serpinb1b|6330533H24Rik|EIB|Serpin1b1|ovalbumin|-|13 A3.3|13 13.81 cM|protein-coding	60	33	63	63	64	84	59	64
Scube3|CEGF3|D030038I21Rik|-|17|17 A3.3|protein-coding	5	3	2	3	1	3	4	5
Mir3112|mmu-mir-3112|-|X E3|X 55.66 cM|ncRNA	0	0	0	0	0	0	0	0
Pabpc5|C820015E17|-|X|X E1|protein-coding	0	0	0	0	0	0	0	0
Fancb|BC022692|-|X|X F5|protein-coding	2	0	2	1	0	1	0	3
Adgrf1|5031409J19Rik|Gpr110|KPG_009|-|17|17 B3|protein-coding	0	0	0	0	0	0	0	0
Map4k2|AI385662|BL44|GCK|Rab8ip|-|19|19 A|protein-coding	5	4	5	8	6	7	6	3
Senp2|2310007L05Rik|4930538C18Rik|AI646780|AW554757|Smt3ip2|SuPr-1|mKIAA1331|-|16|16 B1|protein-coding	24	15	13	16	24	31	10	16
Gm38670|Mir9769|mir-9769|mmu-mir-9769|-|7|7 B1|ncRNA	0	0	0	0	0	0	0	0
2700081O15Rik|AI255177|AI848741|AW742297|-|19|19 A|protein-coding	4	2	1	1	2	2	2	2
Mapk1ip1l|9130202B12|C130032J12Rik|-|14|14 C1|protein-coding	32	17	19	24	28	26	15	21
Hmgb2|C80539|HMG-2|Hmg2|-|8 B2|8 29.9 cM|protein-coding	0	1	1	0	4	2	2	1
Lrba|C80285|D3Ertd775e|Lab300|Lba|-|3|3 F1|protein-coding	7	4	7	10	12	7	7	8
Adh5|Adh-5|Adh3|GSNOR|-|3|3 G3|protein-coding	166	100	148	121	150	172	127	150
Fam65c|2310033K02Rik|Gm124|-|2|2 H3|protein-coding	0	0	0	0	0	0	0	0
Olfr437|MOR261-11|-|6|6 B2.1|protein-coding	0	0	0	0	0	0	0	0
Igsf23|2210010C17Rik|-|7|7 A3|protein-coding	3	1	6	1	2	3	3	2
Ccer2|EG624918|Gm6537|-|7|7 B1|protein-coding	1	0	0	0	0	0	1	0
Trib2|AW319517|TRB-2|TRB2|-|12|12 A1.1|protein-coding	2	1	2	2	2	0	2	3
Olfr9|MOR269-3|-|10|10 D3|protein-coding	0	0	0	0	0	0	0	0
Rab12|2900054P15Rik|AW555448|C77700|-|17|17 E1.1|protein-coding	34	19	25	21	19	25	18	22
Edc4|BC022641|-|8|8 D3|protein-coding	23	12	27	17	25	28	23	31
Gimap7|IAN7|Ian3|-|6|6 B2.3|protein-coding	0	0	0	0	0	1	0	0
Degs2|2210008A03Rik|AI852933|DES2|-|12|12 F1|protein-coding	1	0	3	1	3	2	3	0
Nr4a2|HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR|-|2 C1.1|2 31.66 cM|protein-coding	0	1	0	1	2	0	0	0
Rd3|3322402L07Rik|rd-3|rd3|-|1 H6|1 97.09 cM|protein-coding	21	13	11	9	11	19	10	9
Tgfbr3|1110036H20Rik|AU015626|AW215636|TBRIII|-|5|5 E5|protein-coding	76	43	56	52	44	50	35	44
Bdh2|1810026B04Rik|Dhrs6|-|3|3 G3|protein-coding	37	36	31	24	46	64	32	34
Baat|AI118337|AI158864|BAT|-|4 B1|4 26.51 cM|protein-coding	0	0	0	1	0	0	0	0
Kctd9|-|-|14|14 D1|protein-coding	9	4	5	5	7	9	11	9
Krt78|2310030B04Rik|Kb40|-|15|15 F2|protein-coding	0	0	0	0	0	0	0	1
Gm12216|602-19-115|OTTMUSG00000005650|-|11|11 B1.3|ncRNA	3	2	0	0	2	3	0	0
Ebag9|AI835379|Rcas1|-|15|15 B3.2|protein-coding	10	8	13	8	18	22	12	11
Mup21|Gm11208|Mup|Mup26|OTTMUSG00000000231|bM64F17.1|bM64F17.4|-|4 B3|4|protein-coding	0	0	0	0	0	0	0	0
Gtf2e1|2610024P03Rik|56kDa|AI303800|FE|TFIIE-A|-|16|16 B3|protein-coding	14	6	7	8	10	15	9	17
Zfp622|1110033B05Rik|D15Ertd806e|ZPR9|Znf622|-|15 B1|15 9.71 cM|protein-coding	22	9	14	12	18	22	20	15
Mcam|1-gicerin|AV025631|CD146|CD149|Muc18|s-endo|s-gicerin|-|9|9 A5.1|protein-coding	15	6	8	7	10	7	6	13
4930425K10Rik|-|-|5|5 C3.1|ncRNA	0	0	0	0	0	0	0	0
Rad23b|0610007D13Rik|AV001138|HR23B|mHR23B|p58|-|4|4 B3|protein-coding	50	24	39	41	32	31	24	16
Dhcr24|2310076D10Rik|5830417J06Rik|mKIAA0018|-|4|4 C7|protein-coding	56	39	31	47	47	53	38	40
Chaf1b|2600017H24Rik|C76145|CAF-I p60|CAF-Ip60|CAF1|CAF1A|CAF1P60|MPHOSPH7|-|16 C4|16 54.96 cM|protein-coding	9	6	10	7	16	6	9	10
Prss43|Gm661|Tessp3|-|9|9 F2|protein-coding	0	0	0	0	0	2	0	0
Uimc1|9430016E08Rik|D330018D10Rik|D630032M02Rik|RIP110|Rxrip110|-|13|13 B1|protein-coding	22	11	11	7	16	8	10	11
Wdr27|0610012K18Rik|-|17|17 A2|protein-coding	0	0	0	0	0	0	0	1
Slc38a9|4833412L08Rik|6720411P22Rik|9130023D20Rik|9430067K09Rik|A730092C09|-|13|13 D2.2|protein-coding	8	7	6	4	5	3	6	3
Atic|2610509C24Rik|AA536954|AW212393|-|1|1 C3|protein-coding	2	4	0	2	4	2	0	4
F10|Cf10|fX|-|8 A1.1|8 5.73 cM|protein-coding	0	0	0	0	0	0	0	0
Gm5142|EG380907|-|14|14 C3|protein-coding	0	0	0	0	0	0	0	0
Cntf|AI429687|-|19 A|19 8.73 cM|protein-coding	31	16	25	21	16	19	20	15
Syn3|-|-|10|10 C1|protein-coding	2	0	0	0	1	0	2	0
4930524N10Rik|-|-|X|X F3|protein-coding	0	0	0	0	0	0	0	0
Olfr821|MOR109-1|-|10|10 D3|protein-coding	0	0	0	0	0	0	0	0
Olfr1218|MOR233-12|-|2|2 E1|protein-coding	0	0	0	0	0	0	0	0
Nr1i3|AA209988|AI551208|CAR|CAR-beta|Care2|ESTM32|MB67|-|1 H3|1 79.21 cM|protein-coding	0	0	0	0	0	1	0	0
Mir5098|mmu-mir-5098|mu-mir-5098|-|5 C3.3|5 41.61 cM|ncRNA	0	0	0	0	0	0	0	0
Ppat|5730454C12Rik|AA408689|AA675351|AI507113|C79945|-|5|5 C3.3|protein-coding	17	8	11	14	12	18	14	18
Csn1s2b|AW987150|Csnd|Csne|-|5 E1|5 43.56 cM|protein-coding	0	0	0	0	0	0	0	0
Raet1c|RAE-1gamma|-|10|10 A3|protein-coding	5	2	4	5	9	4	2	5
Fxn|FA|FARR|Frda|X25|-|19|19 B|protein-coding	20	15	17	15	23	24	10	15
Gm21948|Nup62-il4i1|-|7 B3|7|protein-coding	1	1	0	2	0	0	1	0
Btnl4|Btn3a3|EG632126|NG11|-|17 B1|17 18.06 cM|protein-coding	0	0	0	0	0	0	0	0
Hba-a2|-|-|11 A4|11 18.87 cM|protein-coding	3	1	3	2	1	2	3	4
Phtf1os|A130049A11Rik|-|3 F2.2|3|ncRNA	3	1	0	1	0	3	2	1
Crhbp|CRH-BP|-|13 D1|13 49.5 cM|protein-coding	0	0	0	0	1	2	1	0
Mir669c|Mirn669c|Mirn669c-1|-|2 A1|2|ncRNA	0	0	0	0	0	0	0	0
Hist1h4h|1700024H08Rik|-|13|13 A3.1|protein-coding	17	17	12	17	18	28	14	24
Ppp1r21|1110018J12Rik|AI426045|AW550781|Ccdc128|Klraq1|-|17|17 E4|protein-coding	10	9	4	5	15	11	8	14
Krtap2-4|5530401P19Rik|KAP2.4|KRTAP2.4|-|11|11 D|protein-coding	0	0	0	0	0	0	0	0
Sco1|2610001C07Rik|D11Bwg1310e|-|11 B3|11 40.59 cM|protein-coding	15	6	8	7	6	8	2	5
Gdi1|GDIA|GDIalpha|-|X A7.3|X 37.97 cM|protein-coding	172	101	140	146	147	158	117	148
Guca2a|Guca2|-|4 D2.1|4 55.47 cM|protein-coding	0	0	0	0	0	0	0	0
Sde2|-|-|1|1 H4|protein-coding	24	21	25	25	28	27	21	16
Elp4|A330107A17Rik|Paxneb|-|2 E3|2 55.33 cM|protein-coding	7	9	10	9	13	14	13	10
Ambp|AI194774|ASPI|HI-30|Intin4|Itil|UTI|-|4 B3|4 33.96 cM|protein-coding	0	0	0	0	0	0	0	1
Lhx6|Lhx6.1|-|2|2 B|protein-coding	0	1	0	0	0	0	0	1
1700006F04Rik|-|-|14|14 E4|ncRNA	0	0	0	0	0	0	0	0
Mycs|-|-|X A1.1|X 2.4 cM|protein-coding	0	0	0	0	0	0	0	0
A430085M09Rik|EG623726|-|4|4 C3|ncRNA	0	0	0	0	0	0	0	0
Nckipsd|AF3P21|DIP1|ORF1|SPIN90|WASLBP|WISH|Wasbp|-|9|9 F2|protein-coding	22	14	17	14	18	23	13	10
Cd80|B71|Cd28l|Ly-53|Ly53|MIC17|TSA1|-|16 B4|16 26.86 cM|protein-coding	2	0	0	3	1	0	0	0
Acot8|PTE-2|Pte1|-|2|2 H3|protein-coding	27	20	27	33	28	40	18	32
Clcn7|ClC-7|D17Wsu51e|-|17 A3.3|17 12.53 cM|protein-coding	81	53	69	56	91	112	60	73
Mir7226|Gm27630|mmu-mir-7226|-|4|4 D2.1|ncRNA	0	0	0	0	0	0	0	0
Fam169a|B230112C05Rik|SLAP75|-|13|13 D1|protein-coding	0	0	0	0	0	0	0	0
Gng10|AV006524|-|4 B3|4 32.36 cM|protein-coding	80	64	55	77	63	58	55	62
Zim1|-|-|7 A1|7 3.87 cM|protein-coding	0	0	0	0	0	0	0	0
Asmt|Hiomt|-|X F5|X|protein-coding	0	0	0	0	0	0	0	0
Clpp|AU019820|D17Wsu160e|-|17 D|17 29.61 cM|protein-coding	166	111	160	146	146	168	129	154
5430427O19Rik|-|-|X|X C1|protein-coding	1	1	0	0	0	3	0	0
1810013A23Rik|-|-|17|17 A3.3|ncRNA	0	0	0	0	0	0	0	0
Cap1|-|-|4|4 D2.2|protein-coding	125	98	79	97	103	106	75	85
Mta2|AW550797|Mata1l1|Mta1l1|mmta2|-|19|19 A|protein-coding	38	35	35	34	38	51	22	33
2010001A14Rik|-|-|11|11 B1.3|ncRNA	7	3	9	9	3	5	4	3
Copg2|AW227625|gamma-2-COP|-|6|6 A3.3|protein-coding	37	31	35	31	34	30	28	44
Kcnip3|4933407H12Rik|AI413860|Csen|DREAM|KChIP3|R74849|-|2|2 F1|protein-coding	5	2	2	1	8	2	1	2
Gm10488|ENSMUSG00000073257|-|X|X A3.1|protein-coding	0	0	0	0	0	0	0	0
Vax2os|Vas2os|Vax2os1|Vax2os2|-|6|6 C3|ncRNA	0	0	0	1	0	0	0	0
Vmn1r148|V1rd14|V3R8|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Mageb2|Mage-b2|Mage-rs2|Smage2|-|X C2|X 40.35 cM|protein-coding	0	0	0	0	0	0	0	0
Osr2|5430409I15Rik|Osr2A|Osr2B|-|15 B3.1|15 14.46 cM|protein-coding	0	0	1	0	0	0	0	0
Cyb5r2|D630003K02Rik|b5R.2|-|7|7 E3|protein-coding	2	4	1	2	1	5	1	4
Slc6a20a|A730081N20Rik|AU022428|Xt3s1|Xtrp3s1|-|9 F4|9 74.26 cM|protein-coding	0	0	1	2	1	0	0	1
Hfm1|A330009G12Rik|Gm1046|Mer3|Sec63d1|-|5|5 E5|protein-coding	0	0	0	0	1	0	0	0
Alas1|ALAS|ALAS-N|Alas-1|Alas-h|-|9|9 F1|protein-coding	291	174	207	202	230	259	176	207
Ncf2|NOXA2|Ncf-2|p67phox|-|1 G3|1 65.05 cM|protein-coding	1	0	5	0	1	0	0	3
Lamtor2|2010111E04Rik|AL022628|Mapbpip|P14|Rab25|Robld3|-|3|3 F1|protein-coding	362	262	287	257	274	328	240	235
Timm10|Tim13|Timm13a|-|2|2 D|protein-coding	100	79	82	89	123	117	75	86
Smtnl1|1110030K22Rik|CHASM|-|2|2 D|protein-coding	0	0	0	0	0	0	0	0
Psmd5|1500032A03Rik|AW475925|S5b|W91691|mKIAA0072|-|2|2 B|protein-coding	77	44	72	48	88	64	56	69
Rasef|BC030882|RAB45|-|4|4 C3|protein-coding	1	0	0	0	0	0	0	0
Plin5|2310076L09Rik|AI415325|AW109675|Lsdp5|MLDP|PAT-1|-|17|17 D|protein-coding	0	0	3	0	3	4	2	2
Rims3|A730060M23Rik|Nim3|Rim3|mKIAA0237|-|4|4 D2.2|protein-coding	0	0	0	0	0	1	0	0
Cpa3|MC-CPA|-|3 A2|3 6.25 cM|protein-coding	0	0	0	0	0	0	0	0
Mxd3|4631412E13Rik|Mad3|bHLHc13|-|13 B1|13 29.8 cM|protein-coding	1	1	2	1	0	2	5	5
Cdpf1|2210021J22Rik|-|15|15 E2|protein-coding	76	71	63	58	73	81	60	74
Tex36|4930404H21Rik|-|7|7 F3|protein-coding	0	0	0	0	0	0	0	0
Adamts13|ADAM-TS13|ADAMTS-13|Gm710|vWF-CP|-|2|2 A3|protein-coding	0	0	0	0	0	0	0	0
Vgll4|BC048841|VGL-4|-|6|6 E3|protein-coding	8	6	9	8	11	13	11	14
Adamtsl2|A930008K15Rik|tcp-1|-|2|2 A3|protein-coding	0	0	0	1	0	0	0	0
Mir7081|Gm27904|mmu-mir-7081|-|9|9 A3|ncRNA	0	0	0	0	0	0	0	0
Il16|mKIAA4048|-|7 D3|7 47.43 cM|protein-coding	1	2	0	0	2	0	0	0
Tmem8|AW490096|M83|Tmem8a|-|17|17 A3.3|protein-coding	39	20	28	33	27	39	36	39
Ikzf5|2610034F18Rik|PEGASUS|Zfpn1a5|-|7|7 F3|protein-coding	12	7	5	7	6	4	2	1
Ptgs1|COX1|Cox-1|Cox-3|PGHS-1|PHS 1|Pghs1|-|2 B|2 24.19 cM|protein-coding	6	2	5	8	3	8	7	11
Fam234a|Itfg3|-|17|17 A3.3|protein-coding	149	112	177	147	155	159	115	135
Mir7023|Gm27912|mmu-mir-7023|-|4|4 E2|ncRNA	0	0	0	0	0	0	0	0
Pcdha5|Cnr6|Crnr6|-|18|18 B2-B3|protein-coding	41	20	37	41	30	38	33	36
Vmn1r11|V1rc3|-|6|6 B3|protein-coding	0	0	0	0	0	0	0	0
Vmn1r114|ENSMUSG00000074323|Gm10669|-|7|7 A3|protein-coding	0	0	0	0	0	0	0	0
Vmn2r36|100042724|Gm3991|-|7|7 A1|protein-coding	0	0	0	0	0	0	0	0
Gm1976|100038868|-|17|17 E5|ncRNA	12	11	7	7	10	9	7	6
Mir703|Mirn703|mir-703|mmu-mir-703|-|5 E3|5|ncRNA	34	23	30	17	23	32	27	26
A2m|A2mp|-|6 F1|6 57.49 cM|protein-coding	152	104	129	116	121	136	101	118
A830011K09Rik|-|-|6|6 G1|ncRNA	0	0	0	0	0	0	0	0
Tmem39a|2610033C09Rik|-|16|16 B4|protein-coding	20	10	17	11	14	29	14	15
Blnk|BASH|Bca|Ly-57|Ly57|Lyw-57|SLP-65|-|19 C3|19 34.26 cM|protein-coding	3	1	1	1	4	2	0	1
St6galnac4|SIAT7-D|ST6GalNAcIV|Siat7d|-|2|2 B|protein-coding	38	35	26	34	41	43	13	26
Insl3|Rlf|Rlnl|-|8 B3.3|8 34.43 cM|protein-coding	14	7	9	5	5	3	8	6
Grm6|BC021919|Gm3|Gprc1f|mGluR6|nerg1|nob2|nob3|nob4|-|11|11 B1.3|protein-coding	0	0	0	0	0	0	0	0
Ift57|4833420A15Rik|Esrrbl1|Hippi|MHS4R2|-|16|16 B5|protein-coding	77	43	43	36	72	92	49	43
Pde6h|A930033D18Rik|PDEgamma|-|6|6 G1|protein-coding	2	1	1	0	2	1	1	2
Coro1a|Clabp|Lmb3|TACO|p57|-|7 69.25 cM|7 F3|protein-coding	10	6	6	12	8	11	6	9
Tnnc1|AI874626|TnC|cTnC|cTnI|tncc|-|14 B|14 19.09 cM|protein-coding	2	0	1	1	4	1	5	3
Ms4a18|5033428B15Rik|-|19|19 A|protein-coding	0	0	0	0	0	0	0	1
Fam76b|2810485I05Rik|C78303|-|9|9 A1|protein-coding	6	2	10	7	4	10	2	9
